t , x , y
0.0 , 0.0 , 10.0
0.1 , 1.06 , 11.01
0.2 , 2.12 , 11.93
0.3 , 3.18 , 12.74
0.4 , 4.24 , 13.46
0.5 , 5.3 , 14.08
0.6 , 6.36 , 14.6
0.7 , 7.42 , 15.02
0.8 , 8.49 , 15.35
0.9 , 9.55 , 15.58
1.0 , 10.61 , 15.71
1.1 , 11.67 , 15.74
1.2 , 12.73 , 15.67
1.3 , 13.79 , 15.51
1.4 , 14.85 , 15.25
1.5 , 15.91 , 14.88
1.6 , 16.97 , 14.43
1.7 , 18.03 , 13.87
1.8 , 19.09 , 13.22
1.9 , 20.15 , 12.46
2.0 , 21.21 , 11.61
2.1 , 22.27 , 10.66
2.2 , 23.33 , 9.62
2.3 , 24.4 , 8.47
2.4 , 25.46 , 7.23
